Task,Model,Metric,Mean_Ours,Mean_Standard,p_greater_raw,p_less_raw,Statistic_greater,Statistic_less,N,p_greater_holm,greater_significant,p_less_holm,less_significant,Decision,Effect_size_r
denoising,DDPM,PSNR,31.473483012239463,23.586359237587775,0.0,1.0,61042974.0,61042974.0,11658,0.0,True,1.0,False,Better,-0.7964300957951767
denoising,DDPM,SSIM,0.7288609523358064,0.38214500078693137,0.0,1.0,63381629.0,63381629.0,11658,0.0,True,1.0,False,Better,-0.8652542364027733
denoising,FM,PSNR,34.3273262225996,33.9492829000402,5.315994531413395e-255,1.0,46367873.0,46367873.0,11658,4.7843950782720555e-254,True,1.0,False,Better,-0.3645574105745337
denoising,FM,SSIM,0.8412868941152493,0.7970914837779156,0.0,1.0,67394944.0,67394944.0,11658,0.0,True,1.0,False,Better,-0.9833618477702375
denoising,LDM,PSNR,31.985832412480246,28.889506732767085,0.0,1.0,61434446.0,61434446.0,11658,0.0,True,1.0,False,Better,-0.8079507022856325
denoising,LDM,SSIM,0.8003307004477211,0.6503259459213031,0.0,1.0,66043785.0,66043785.0,11658,0.0,True,1.0,False,Better,-0.943598668934873
denoising,LFM,PSNR,32.10935683205775,32.292536298693854,1.0,0.0,4121228.0,4121228.0,11658,1.0,False,0.0,True,Worse,0.8787166232950288
denoising,LFM,SSIM,0.7926304596331364,0.764026015939405,0.0,1.0,66892454.0,66892454.0,11658,0.0,True,1.0,False,Better,-0.9685740990796821
